[2018-04-09 12:57:18.325] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/javascripts/jquery-3.1.1.min.js to extension.zip  :  public/apps/simpleapp/javascripts/jquery-3.1.1.min.js
[2018-04-09 12:57:18.325] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/javascripts/main.js to extension.zip  :  public/apps/simpleapp/javascripts/main.js
[2018-04-09 12:57:18.325] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/javascripts/make_group_public.js to extension.zip  :  public/apps/simpleapp/javascripts/make_group_public.js
[2018-04-09 12:57:18.326] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/javascripts/menu.html to extension.zip  :  public/apps/simpleapp/javascripts/menu.html
[2018-04-09 12:57:18.326] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/javascripts/space-auto-follow.js to extension.zip  :  public/apps/simpleapp/javascripts/space-auto-follow.js
[2018-04-09 12:57:18.326] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/javascripts/spin.js to extension.zip  :  public/apps/simpleapp/javascripts/spin.js
[2018-04-09 12:57:18.327] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/locales/all_ALL.xml to extension.zip  :  public/apps/simpleapp/locales/all_ALL.xml
[2018-04-09 12:57:18.327] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/locales/en_ALL.xml to extension.zip  :  public/apps/simpleapp/locales/en_ALL.xml
[2018-04-09 12:57:18.327] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/stylesheets/bootstrap.min.css to extension.zip  :  public/apps/simpleapp/stylesheets/bootstrap.min.css
[2018-04-09 12:57:18.327] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/stylesheets/hdm.css to extension.zip  :  public/apps/simpleapp/stylesheets/hdm.css
[2018-04-09 12:57:18.328] [DEBUG] jive-sdk - Zipping extension_src/public/apps/simpleapp/stylesheets/main.css to extension.zip  :  public/apps/simpleapp/stylesheets/main.css
[2018-04-09 12:57:18.437] [INFO] jive-sdk - Updated 1 data file(s): [jiveExtension]
